bridge_id,last_replacement,traffic_intensity,latitude,longitude
BRU0285,1963,4000,52.37734989,4.902183608
BRU0301,2018,8000,52.37669991,4.902462092
BRU0303,2015,8000,52.37688936,4.898761558
BRU0306,1974,4000,52.37775812,4.899005597
BRU0013,1978,4000,52.37864531,4.897634267
BRU0014,1879,4000,52.37903237,4.894116776
BRU0015,1924,4000,52.3789065,4.893751868
BRU0302,1986,4000,52.37584655,4.900602023
BRU0208,1988,4000,52.37542895,4.900097225
BRU0207,1976,4000,52.37475552,4.899393415
BRU0206,1976,4000,52.37401551,4.898471509
BRU0210,1972,4000,52.37452594,4.900133247
BRU0298,1921,4000,52.37422418,4.901269676
BRU0031,1980,4000,52.36464454,4.895843736
BRU2358,2024,20000,52.37661802,4.903407997
